# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	2699
#@/user_id	6a2163fc-c90b-46e9-84eb-486cc8c8afe8
a 	啊	c=7 d=2.09373 t=2429
ai 	唉	c=1 d=1 t=2120
an 	按	c=1 d=1 t=721
an jian 	按鍵	c=1 d=1 t=2179
an pai 	安排	c=1 d=1 t=2462
an zhuang 	安裝	c=2 d=1.00001 t=2690
ba 	吧	c=8 d=1.07267 t=2613
ba 	把	c=3 d=1.14547 t=2040
bai 	白	c=1 d=1 t=956
bai dian 	白電	c=2 d=1.50158 t=2025
bai dian 	白點	c=1 d=1 t=954
bai se 	白色	c=1 d=1 t=1423
ban 	板	c=1 d=1 t=1045
ban 	版	c=1 d=1 t=2689
ban ben 	版本	c=14 d=2.95571 t=2696
ban fa 	辦法	c=2 d=1.74826 t=2143
ban zi 	板子	c=5 d=1.5021 t=2653
bang 	幫	c=1 d=1 t=2281
bang ding 	綁定	c=1 d=1 t=1573
bang mang 	幫忙	c=1 d=1 t=397
bang ni 	幫你	c=2 d=1.07692 t=1576
bao 	包	c=1 d=1 t=2686
bao 	寶	c=1 d=1 t=2322
bao liu 	保留	c=1 d=1 t=311
bao ma 	寶馬	c=0 d=0.1 t=2320
bao ming 	報名	c=1 d=1 t=2682
bao ren 	報人	c=0 d=0.1 t=2320
bao ren bao ma 	報人寶馬	c=1 d=1 t=2321
bei 	被	c=1 d=1 t=1570
bei fen 	備份	c=1 d=1 t=2270
ben lai 	本來	c=1 d=1 t=2148
bi 	比	c=1 d=1 t=1585
bi jiao 	比較	c=2 d=1.00023 t=2517
bi li 	比例	c=2 d=1.62814 t=853
bi xu 	必須	c=1 d=1 t=1803
bian 	變	c=2 d=1.21119 t=1168
bian 	邊	c=1 d=1 t=1127
bian yi 	便宜	c=1 d=1 t=2601
bian yi 	編譯	c=4 d=3.45612 t=2656
bin 	斌	c=1 d=1 t=146
bing xiang 	冰箱	c=1 d=1 t=307
bo te lv 	波特率	c=1 d=1 t=2662
bu 	不	c=5 d=1.09936 t=2673
bu cheng gong 	不成功	c=1 d=1 t=1299
bu cuo 	不錯	c=1 d=1 t=2335
bu duan 	不斷	c=2 d=1.99005 t=1552
bu gan 	不敢	c=1 d=1 t=1507
bu hao 	不好	c=1 d=1 t=1169
bu ji 	不急	c=0 d=0.1 t=1991
bu ji bu ji 	不急不急	c=1 d=1 t=1992
bu le 	不了	c=1 d=1.00009 t=1476
bu liang 	不亮	c=1 d=1 t=479
bu men 	部門	c=1 d=1 t=308
bu neng 	不能	c=2 d=1.9802 t=2626
bu pi pei 	不匹配	c=1 d=1 t=1334
bu qing chu 	不清楚	c=2 d=1.26185 t=2199
bu ran 	不然	c=2 d=1.00341 t=1961
bu shang 	不上	c=2 d=1.06051 t=2178
bu shang qu 	不上去	c=0 d=0.1 t=1026
bu shi 	不是	c=11 d=2.34691 t=2550
bu shou fei 	不收費	c=1 d=1 t=2587
bu tong 	不同	c=2 d=1.05613 t=2695
bu xia lai 	不下來	c=1 d=1 t=2399
bu xian shi 	不顯示	c=1 d=1 t=2572
bu xiao de 	不曉得	c=4 d=2.48031 t=2485
bu yao 	不要	c=1 d=1 t=145
bu yi yang 	不一樣	c=1 d=1 t=2463
bu yong 	不用	c=1 d=1 t=725
bu zhi dao 	不知道	c=1 d=1 t=1069
cai 	菜	c=1 d=0.822527 t=2138
can kao 	參考	c=2 d=1.0008 t=1844
can shu 	參數	c=1 d=1 t=1944
cao zuo 	操作	c=8 d=1.38859 t=2688
ce 	測	c=2 d=1.41686 t=807
ce shi 	測試	c=31 d=2.43329 t=1908
cha bu duo 	差不多	c=1 d=1 t=676
chan pin 	產品	c=6 d=2.78376 t=609
chang hong 	長虹	c=8 d=1.30647 t=2651
chang liang 	長亮	c=1 d=1 t=472
chao ji 	超級	c=3 d=1.09369 t=2287
che xiao 	撤銷	c=1 d=1 t=196
cheng du 	成都	c=3 d=1.07618 t=1640
cheng du 	程度	c=1 d=1 t=965
cheng xu 	程序	c=1 d=1 t=1563
chong xin 	重新	c=2 d=1.02746 t=1561
chong zhi 	重置	c=3 d=2.95556 t=2229
chu 	出	c=3 d=1.00002 t=2607
chu 	楚	c=1 d=1 t=104
chu chai 	出差	c=1 d=1 t=345
chu de 	出的	c=3 d=1.00004 t=2378
chu fei 	除非	c=1 d=1 t=779
chu lai 	出來	c=2 d=1.0526 t=662
chu li 	處理	c=8 d=1.69697 t=2309
chu qu 	出去	c=2 d=1.13332 t=2129
chu wen ti 	出問題	c=1 d=1 t=45
chu yi ge 	出一個	c=1 d=1 t=180
chuan 	傳	c=5 d=1.45259 t=2186
chuan kou 	串口	c=3 d=1.77381 t=2661
ci 	詞	c=1 d=1 t=2699
cun dang 	存檔	c=2 d=1.00118 t=2449
da 	噠	c=1 d=1 t=524
da bao 	打包	c=2 d=1.00002 t=2448
da qun 	大羣	c=1 d=1 t=231
da xing 	大型	c=1 d=1 t=324
dai ma 	代碼	c=7 d=1.59607 t=2535
dan 	但	c=1 d=1 t=1349
dan du 	單獨	c=4 d=1.11776 t=2224
dan shi 	但是	c=15 d=2.72025 t=2669
dan yi 	單一	c=2 d=1.00109 t=1689
dang shi 	當時	c=2 d=1.0017 t=2486
dao 	到	c=1 d=1 t=1388
dao rao 	叨擾	c=1 d=1 t=1177
dao shi 	到時	c=1 d=1 t=2543
dao shi hou 	到時候	c=1 d=1 t=2424
dao zhi 	導致	c=1 d=1 t=1159
de 	得	c=1 d=1 t=212
de 	的	c=175 d=15.8064 t=2685
de hen 	得很	c=0 d=0.1 t=2088
deng 	燈	c=2 d=1.00018 t=2182
deng 	等	c=2 d=1.96561 t=658
deng ji 	登記	c=1 d=1 t=1680
di 	低	c=1 d=0.646074 t=1502
di ban ben 	低版本	c=2 d=1.77105 t=1555
di yi qi 	第一期	c=2 d=1.10331 t=569
di zhi 	地址	c=6 d=2.57247 t=2440
dian 	電	c=2 d=1.04438 t=1580
dian 	點	c=1 d=1 t=19
dian hua 	電話	c=2 d=1.97045 t=41
dian kong 	電控	c=19 d=1.48325 t=2421
dian liang 	電量	c=1 d=1 t=938
dian lu 	電路	c=1 d=1 t=1044
dian qi 	電器	c=1 d=1 t=2679
dian ya 	電壓	c=1 d=1 t=1410
dian yuan 	電源	c=2 d=1.42741 t=1586
diao dian 	掉電	c=1 d=1 t=476
die dai 	迭代	c=2 d=1.00006 t=2527
ding xia lai 	定下來	c=1 d=1 t=2330
ding yi 	定義	c=6 d=4.55228 t=2045
ding yi ge 	定義個	c=1 d=1 t=2039
dou 	都	c=8 d=0.404534 t=2576
dou hui 	都會	c=1 d=1 t=1279
dou mei you 	都沒有	c=3 d=1.69243 t=2010
dou mei you ding yi 	都沒有定義	c=1 d=1 t=2011
dou mei you hui wo 	都沒有回我	c=1 d=1 t=2008
dou shi 	都是	c=5 d=1.00462 t=2629
dou xing 	都行	c=1 d=1 t=236
dou xu yao 	都需要	c=1 d=1 t=107
dou yi yang 	都一樣	c=1 d=1 t=2577
dou zai 	都在	c=1 d=1 t=2099
du 	度	c=2 d=1.84366 t=2574
duan 	端	c=3 d=0.168918 t=2579
duan kou 	端口	c=2 d=1.9802 t=1625
dui 	對	c=1 d=1 t=197
dui de 	對的	c=1 d=1 t=624
dui jie 	對接	c=3 d=2.51831 t=2469
dui ni 	對你	c=1 d=1 t=2553
dui ying 	對應	c=1 d=1 t=2177
duo 	多	c=0 d=0.1 t=2088
duo bu duo 	多不多	c=1 d=1 t=1823
duo de hen 	多得很	c=1 d=1 t=2089
duo duo 	多多	c=1 d=1 t=383
duo ren 	多人	c=1 d=1 t=342
duo shao 	多少	c=4 d=1.01457 t=2663
duo you 	多有	c=1 d=1 t=1176
e 	呃	c=1 d=1 t=1474
e 	額	c=2 d=1.06555 t=1281
en 	恩	c=35 d=3.06285 t=2491
er qi 	二期	c=4 d=3.75484 t=605
er wei ma 	二維碼	c=3 d=1.77382 t=2407
fa 	發	c=2 d=1.07502 t=1671
fa bao 	發包	c=2 d=1.90484 t=2293
fa ge 	發個	c=1 d=1 t=2332
fa song 	發送	c=3 d=2.92168 t=1448
fa wan 	發完	c=0 d=0.1 t=2443
fan ying 	反應	c=2 d=1.00008 t=2594
fan zhi 	反之	c=2 d=1.00047 t=1848
fang 	放	c=1 d=1 t=1502
fang bian 	方便	c=0 d=0.1 t=1542
fang fa 	方法	c=1 d=1 t=685
fang shi 	方式	c=2 d=1.00003 t=2437
fei chang 	非常	c=1 d=1 t=999
fen mu 	分母	c=1 d=1 t=862
fen xi 	分析	c=1 d=1 t=398
fen zi 	分子	c=1 d=1 t=858
feng su 	風速	c=1 d=1 t=1435
fu jian 	附件	c=2 d=1.0013 t=1663
fu li zi 	負離子	c=3 d=2.93131 t=1596
fu wu qi 	服務器	c=12 d=1.2239 t=2361
fu wu qi duan 	服務器端	c=1 d=1 t=1856
fu ze 	負責	c=3 d=1.55713 t=2476
gai 	改	c=5 d=1.62441 t=1136
gai hao 	改好	c=1 d=1 t=1024
gai hui lai 	改回來	c=3 d=2.37322 t=1249
gai le 	改了	c=1 d=1 t=2569
gai wei 	改爲	c=1 d=1 t=1499
gan jin 	趕緊	c=1 d=1 t=1124
gan jue 	感覺	c=1 d=1 t=2397
gan shen me 	幹什麼	c=1 d=1 t=809
gan xie 	感謝	c=1 d=1 t=1000
gang 	剛	c=1 d=1 t=1722
gang gang 	剛剛	c=11 d=3.7391 t=2619
gang ge 	剛哥	c=1 d=1 t=1659
gao 	高	c=1 d=0.102809 t=1345
gao ban ben 	高版本	c=2 d=1.46301 t=1500
gao ding 	搞定	c=1 d=1 t=1547
gao le 	搞了	c=1 d=1 t=1515
gao qiang 	高強	c=0 d=0.1 t=127
gao xin qu 	高新區	c=1 d=1 t=1654
ge 	個	c=8 d=2.07026 t=2187
ge 	哥	c=6 d=1.26324 t=2344
gei 	給	c=15 d=1.32471 t=2547
gei de 	給的	c=1 d=1 t=2406
gei ni 	給你	c=13 d=1.41264 t=2538
gei wo 	給我	c=2 d=1.00512 t=1094
gen 	跟	c=8 d=2.10585 t=2454
gen ben 	根本	c=2 d=1.03615 t=1769
gen ju 	根據	c=1 d=1 t=1792
gen ni 	跟你	c=2 d=1.20598 t=988
geng gai 	更改	c=1 d=1 t=1292
geng hao 	更好	c=1 d=1 t=1218
geng kuai 	更快	c=1 d=1 t=823
geng xin 	更新	c=1 d=1 t=2692
gong 	工	c=5 d=1.87014 t=2208
gong neng 	功能	c=1 d=1 t=1343
gong zuo 	工作	c=2 d=1.00003 t=2461
gu ding 	固定	c=1 d=1 t=781
gu jian 	固件	c=6 d=1.05687 t=2291
gu zhang 	故障	c=13 d=6.17217 t=1971
guan fang 	官方	c=2 d=1.93707 t=945
guan li 	管理	c=1 d=1 t=2687
guan li yuan 	管理員	c=2 d=1.96079 t=243
guan xin 	關心	c=0 d=0.1 t=1687
guan zhao 	關照	c=1 d=1 t=384
guang an 	廣安	c=2 d=1.72979 t=934
guang dian 	廣電	c=1 d=1 t=869
guang dong 	廣東	c=0 d=0.1 t=2094
gui ge 	規格	c=2 d=1.00002 t=2263
gui ge shu 	規格書	c=5 d=1.00014 t=2269
gui gu 	硅谷	c=1 d=1 t=1656
gui hua 	規劃	c=1 d=1 t=2118
guo 	過	c=2 d=1.00335 t=1773
guo 	郭	c=1 d=1 t=1468
guo cheng 	過程	c=1 d=1 t=666
guo lai 	過來	c=8 d=1.67523 t=1739
guo qi 	國企	c=1 d=1 t=2072
ha 	哈	c=43 d=3.48537 t=2654
ha ha 	哈哈	c=4 d=1.35905 t=2559
hai 	還	c=5 d=0.549703 t=2407
hai mei 	還沒	c=2 d=1.33454 t=2329
hai mei you 	還沒有	c=3 d=1.41047 t=579
hai shi 	還是	c=8 d=1.0145 t=2659
hai xu yao 	還需要	c=2 d=1.01304 t=1698
hai yao 	還要	c=1 d=1 t=840
hai you 	還有	c=9 d=2.04648 t=2468
hai you mei you 	還有沒有	c=1 d=1 t=321
hai zai 	還在	c=2 d=1.00207 t=2216
hai zuo dao 	還做到	c=1 d=1 t=2408
hao 	好	c=26 d=2.16712 t=2684
hao 	號	c=13 d=2.88001 t=2218
hao de 	好的	c=4 d=2.70646 t=2256
hao ji ge 	好幾個	c=1 d=1 t=66
hao xiang 	好像	c=3 d=1.00008 t=2671
hao you 	好友	c=1 d=1 t=1473
he 	和	c=7 d=1.01204 t=2628
hen 	很	c=2 d=1.00223 t=2551
hen duo 	很多	c=2 d=1.53794 t=1254
hen qing chu 	很清楚	c=1 d=1 t=1374
hong hei 	紅黑	c=1 d=1 t=1404
hong jie 	紅姐	c=2 d=1.32303 t=336
hong se 	紅色	c=1 d=1 t=1418
hong wai 	紅外	c=3 d=1.00011 t=2260
hou 	後	c=1 d=1 t=2693
hou xuan 	候選	c=2 d=1.97521 t=2699
hu lve 	忽略	c=1 d=1 t=323
hua 	話	c=1 d=1 t=1864
huai 	壞	c=1 d=1 t=2511
huan 	換	c=2 d=1.00533 t=1321
huang 	黃	c=3 d=1.00573 t=2370
huang lao shi 	黃老師	c=5 d=3.82788 t=2571
huang wen jun 	黃文俊	c=1 d=1 t=495
hui 	回	c=0 d=0.1 t=2007
hui 	會	c=4 d=1.82679 t=1526
hui fu 	回覆	c=1 d=1 t=421
hui lai 	回來	c=5 d=1.45455 t=1695
hun de 	混得	c=0 d=0.1 t=2138
hun de cai 	混得菜	c=1 d=1 t=2139
huo qu 	獲取	c=1 d=1 t=849
ji 	寄	c=2 d=1.11361 t=1315
ji 	機	c=0 d=0.1 t=67
ji 	級	c=0 d=0.1 t=1787
ji dang 	幾檔	c=1 d=1 t=907
ji gei 	寄給	c=1 d=1 t=1527
ji hua 	計劃	c=2 d=1.90937 t=132
ji huo 	激活	c=0 d=0.1 t=1451
ji kuan 	幾款	c=1 d=1 t=403
ji mu 	吉姆	c=0 d=0.1 t=2168
ji mu ni 	吉姆尼	c=1 d=1 t=2169
ji qi 	機器	c=2 d=1.1159 t=1131
ji suan 	計算	c=2 d=1.00447 t=1840
ji tian 	幾天	c=1 d=1 t=218
ji xing 	機型	c=1 d=1 t=1053
jia 	加	c=1 d=1 t=1472
jia 	賈	c=1 d=1 t=1465
jia li 	家裏	c=1 d=1 t=933
jia man 	加滿	c=1 d=1 t=689
jia mi 	加密	c=1 d=1 t=275
jia shang 	加上	c=1 d=1 t=1881
jian 	建	c=1 d=1 t=580
jian 	見	c=2 d=1.0013 t=1662
jian 	鍵	c=1 d=1 t=2227
jian ce 	檢測	c=3 d=1.00137 t=2650
jian ce yi 	檢測儀	c=1 d=1 t=288
jian dan 	簡單	c=1 d=1 t=2552
jian rong 	兼容	c=2 d=1.00007 t=2528
jiang 	講	c=1 d=1 t=520
jiang tao 	薑韜	c=3 d=2.42889 t=2057
jiao 	叫	c=1 d=1 t=2250
jiao hu 	交互	c=1 d=1 t=1269
jiao jie 	交接	c=1 d=1 t=379
jiao ta 	叫他	c=1 d=1 t=1123
jiao wo 	叫我	c=1 d=1 t=1514
jiao yan 	校驗	c=1 d=1 t=391
jie 	傑	c=1 d=1 t=497
jie 	姐	c=5 d=1.09703 t=2241
jie 	接	c=3 d=1.08038 t=2660
jie chu 	解除	c=1 d=1 t=2209
jie hun 	結婚	c=1 d=1 t=2111
jie kou 	接口	c=4 d=2.85437 t=1942
jie shou 	接收	c=1 d=1 t=1798
jie tu 	截圖	c=1 d=1 t=270
jie xian 	接線	c=1 d=1 t=2206
jin du 	進度	c=1 d=1 t=2493
jin du tiao 	進度條	c=1 d=1 t=1841
jin nian 	今年	c=1 d=1 t=2115
jin qi 	近期	c=1 d=1 t=366
jin que 	緊缺	c=2 d=1.00265 t=2518
jin tian 	今天	c=9 d=2.02053 t=2150
jin xing 	進行	c=1 d=1 t=409
jing 	靜	c=3 d=1.07626 t=2240
jing dong 	京東	c=3 d=1.00092 t=2470
jing hua 	淨化	c=0 d=0.1 t=67
jing hua ji 	淨化機	c=4 d=1.00987 t=2525
jing hua qi 	淨化器	c=2 d=1.54064 t=1099
jing xiang 	鏡像	c=1 d=1 t=2532
jiu 	就	c=16 d=2.0226 t=2555
jiu neng 	就能	c=1 d=1 t=1546
jiu shi 	就是	c=33 d=4.87946 t=2647
jiu xing 	就行	c=4 d=1.23584 t=1532
jiu yao 	就要	c=1 d=1 t=368
jiu zhe 	就這	c=1 d=1 t=74
ju shuo 	據說	c=1 d=1 t=2334
ju ti 	具體	c=2 d=1.99501 t=2381
jue ming 	絕命	c=1 d=1 t=2077
jun 	俊	c=4 d=1.86642 t=2372
jun 	均	c=1 d=1 t=381
jun jun 	俊俊	c=1 d=1 t=531
jun zi 	俊子	c=1 d=1 t=2258
ka 	卡	c=0 d=0.1 t=1451
ka ji huo 	卡激活	c=1 d=1 t=1452
kai 	開	c=0 d=0.1 t=2443
kai fa 	開發	c=2 d=1.00004 t=2520
kai fa ban 	開發板	c=1 d=1 t=2645
kai fa wan 	開發完	c=1 d=1 t=2444
kai ka 	開卡	c=1 d=1 t=1723
kai tou 	開頭	c=1 d=1 t=2019
kai zhan 	開展	c=2 d=1.00022 t=2096
kan 	看	c=4 d=1.02784 t=2649
kan dao 	看到	c=1 d=1 t=2666
kan jian 	看見	c=1 d=1 t=2675
kan kan 	看看	c=2 d=1.11136 t=2390
kan le 	看了	c=1 d=1 t=894
kan ta 	看他	c=1 d=1 t=2058
kan xia 	看下	c=1 d=1 t=2283
kan zhe 	看着	c=1 d=1 t=1997
